,reviews,sentiment,cleaned_reviews
38,My first visit to Hiro was a delight!,1,first visit hiro wa delight
39,Service sucks.,0,service suck
40,The shrimp tender and moist.,1,shrimp tender moist
41,There is not a deal good enough that would drag me into that establishment again.,0,deal good enough would drag establishment
42,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether side good grossed melted styrofoam want eat fear getting sick
43,"On a positive note, our server was very attentive and provided great service.",1,positive note server wa attentive provided great service
44,"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen puck disgust worst people behind register
45,The only thing I did like was the prime rib and dessert section.,1,thing like wa prime rib dessert section
46,It's too bad the food is so damn generic.,0,bad food damn generic
47,"The burger is good beef, cooked just right.",1,burger good beef cooked right
48,If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehouse
49,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dressing wa tasty pita hummus wa refreshing
50,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare wa pink tender inside nice char outside
51,He came running after us when he realized my husband had left his sunglasses on the table.,1,came running u realized husband left sunglass table
52,Their chow mein is so good!,1,chow mein good
53,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horrible attitude towards customer talk one customer enjoy food
54,The portion was huge!,1,portion wa huge
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved friendly server great food wonderful imaginative menu
56,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vega absolutely flat lined excuse restaurant
57,Not much seafood and like 5 strings of pasta at the bottom.,0,much seafood like string pasta bottom
58,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauce power scallop wa perfectly cooked
59,"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana wa ripped petrified tasteless
60,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave minute
61,This place receives stars for their APPETIZERS!!!,1,place receives star appetizer
62,The cocktails are all handmade and delicious.,1,cocktail handmade delicious
63,We'd definitely go back here again.,1,definitely go back
64,We are so glad we found this place.,1,glad found place
65,"Great food and service, huge portions and they give a military discount.",1,great food service huge portion give military discount
66,Always a great time at Dos Gringos!,1,always great time gringo
67,Update.....went back for a second time and it was still just as amazing,1,update went back second time wa still amazing
68,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,got food apparently never heard salt batter fish wa chewy
69,A great way to finish a great.,1,great way finish great
70,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included tasting drink jeff went beyond expected
71,"- Really, really good rice, all the time.",1,really really good rice time
72,The service was meh.,0,service wa meh
73,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took min get milkshake wa nothing chocolate milk
74,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess known place would suck inside excalibur use common sense
75,The scallop dish is quite appalling for value as well.,0,scallop dish quite appalling value well
76,2 times - Very Bad Customer Service !,0,time bad customer service
77,The sweet potato fries were very good and seasoned well.,1,sweet potato fry good seasoned well
78,Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time lunch buffet wa pretty good
79,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vega feel cheated wasting eating opportunity going rice company
80,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming like experiencing underwhelming relationship party wait person ask break
81,walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap others eating
82,The turkey and roast beef were bland.,0,turkey roast beef bland
83,This place has it!,1,place ha
84,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cake everyone raving taste like sugary disaster tailored palate six year old
85,I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring roll oh yummy try
86,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tender unsatisfying
87,All I have to say is the food was amazing!!!,1,say food wa amazing
88,Omelets are to die for!,1,omelet die
89,Everything was fresh and delicious!,1,everything wa fresh delicious
90,"In summary, this was a largely disappointing dining experience.",0,summary wa largely disappointing dining experience
91,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth outrageously flirting hottest person party
92,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward
93,Best breakfast buffet!!!,1,best breakfast buffet
94,say bye bye to your tip lady!,0,say bye bye tip lady
95,We'll never go again.,0,never go
96,Will be back again!,1,back
97,Food arrived quickly!,1,food arrived quickly
98,It was not good.,0,wa good
99,"On the up side, their cafe serves really good food.",1,side cafe serf really good food
100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server wa fantastic found wife love roasted garlic bone marrow added extra meal another marrow go
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing wa waiter wa helpful kept bloddy mary coming
102,"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price beat
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,loved mussel cooked wine reduction duck wa tender potato dish delicious
104,This is one of the better buffets that I have been to.,1,one better buffet
105,So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilly fantastic afternoon
106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food wa delicious bartender wa attentive personable got great deal
107,The ambience is wonderful and there is music playing.,1,ambience wonderful music playing
108,Will go back next trip out.,1,go back next trip
109,Sooooo good!!,1,sooooo good
110,"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lover let honest yama good
111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least min passed u ordering food arriving busy
112,This is a really fantastic Thai restaurant which is definitely worth a visit.,1,really fantastic thai restaurant definitely worth visit
113,"Nice, spicy and tender.",1,nice spicy tender
114,Good prices.,1,good price
115,Check it out.,1,check
116,It was pretty gross!,0,wa pretty gross
117,I've had better atmosphere.,0,better atmosphere
118,Kind of hard to mess up a steak but they did.,0,kind hard mess steak
119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much liked look sound place actual experience wa bit disappointing
120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,know place managed served blandest food ever eaten preparing indian cuisine
121,"Worst service to boot, but that is the least of their worries.",0,worst service boot least worry
122,Service was fine and the waitress was friendly.,1,service wa fine waitress wa friendly
123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guy steak steak loving son ha steak best worst place said wa best steak ever eaten
124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought venture away get good sushi place really hit spot night
125,"Host staff were, for lack of a better word, BITCHES!",0,host staff lack better word bitch
126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland liking place number reason want waste time bad reviewing leave
127,"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance
128,I wouldn't return.,0,return
129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing strip pork belly return next time vega
130,This place is way too overpriced for mediocre food.,0,place way overpriced mediocre food
131,Penne vodka excellent!,1,penne vodka excellent
132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger
133,The management is rude.,0,management rude
134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagel good selection cream cheese real lox caper even
135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway meet expectation
136,I had a seriously solid breakfast here.,1,seriously solid breakfast
137,This is one of the best bars with food in Vegas.,1,one best bar food vega
138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,wa extremely rude really many restaurant would love dine weekend vega
139,My drink was never empty and he made some really great menu suggestions.,1,drink wa never empty made really great menu suggestion
140,Don't do it!!!!,0,
141,The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter helpful friendly rarely checked u
142,My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappointed food service
143,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry much bamboo shoot tasty
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like wa done cover subpar food
145,The bathrooms are clean and the place itself is well decorated.,1,bathroom clean place well decorated
146,"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always changing food quality going service extremely slow
147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service wa little slow considering served people server food wa coming slow pace
148,I give it 2 thumbs down,0,give thumb
149,We watched our waiter pay a lot more attention to other tables and ignore us.,0,watched waiter pay lot attention table ignore u
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fianc came middle day greeted seated right away
151,This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay
152,We waited for forty five minutes in vain.,0,waited forty five minute vain
153,Crostini that came with the salad was stale.,0,crostini came salad wa stale
154,Some highlights : Great quality nigiri here!,1,highlight great quality nigiri
155,the staff is friendly and the joint is always clean.,1,staff friendly joint always clean
156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,wa different cut piece day still wonderful tender well well flavored
157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,ordered voodoo pasta wa first time really excellent pasta since going gluten free several year ago
158,this place is good.,1,place good
159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything ordered wa stale
160,I came back today since they relocated and still not impressed.,0,came back today since relocated still impressed
161,I was seated immediately.,1,wa seated immediately
162,"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably priced
163,Avoid at all cost!,0,avoid cost
164,Restaurant is always full but never a wait.,1,restaurant always full never wait
165,DELICIOUS!!,1,delicious
166,This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place hand one best place eat phoenix metro area
167,So don't go there if you are looking for good food...,0,go looking good food
168,I've never been treated so bad.,0,never treated bad
169,Bacon is hella salty.,1,bacon hella salty
170,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,also ordered spinach avocado salad ingredient sad dressing literally zero taste
171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,really vega fine dining used right menu handed lady price listed
172,The waitresses are very friendly.,1,waitress friendly
173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy khao soi dish missed curry lover
174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything menu terrific also thrilled made amazing accommodation vegetarian daughter
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps caught night judging review inspired go back
176,The service here leaves a lot to be desired.,0,service leaf lot desired
177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip maintaining touch coziness
178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,weekly haunt definitely place come back every
179,We literally sat there for 20 minutes with no one asking to take our order.,0,literally sat minute one asking take order
180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolutely flavor meat wa totally bland burger wa overcooked wa charcoal flavor
181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decided send back waitress looked like wa verge heart attack
182,I dressed up to be treated so rudely!,0,dressed treated rudely
183,It was probably dirt.,0,wa probably dirt
184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hit spot want something healthy lacking quantity flavor
185,I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail wa also incredible
186,"The food sucked, which we expected but it sucked more than we could have imagined.",0,food sucked expected sucked could imagined
187,Interesting decor.,1,interesting decor
188,What I really like there is the crepe station.,1,really like crepe station
189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also served hot bread butter home made potato chip bacon bit top original good
190,you can watch them preparing the delicious food!),1,watch preparing delicious food
191,Both of the egg rolls were fantastic.,1,egg roll fantastic
192,"When my order arrived, one of the gyros was missing.",0,order arrived one gyro wa missing
193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wing ice cream dessert left feeling quite satisfied
194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,really sure joey wa voted best hot dog valley reader phoenix magazine
195,The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho
196,The live music on Fridays totally blows.,0,live music friday totally blow
197,I've never been more insulted or felt disrespected.,0,never insulted felt disrespected
198,Very friendly staff.,1,friendly staff
199,It is worth the drive.,1,worth drive
200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good thing place exceeding every hope could dreamed
201,Food was great and so was the serivce!,1,food wa great wa serivce
202,The warm beer didn't help.,0,warm beer help
203,Great brunch spot.,1,great brunch spot
204,Service is friendly and inviting.,1,service friendly inviting
205,Very good lunch spot.,1,good lunch spot
206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,lived since wa first last time stepped foot place
207,The WORST EXPERIENCE EVER.,0,worst experience ever
208,Must have been an off night at this place.,0,must night place
209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,side delish mixed mushroom yukon gold puree white corn beateous
210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never showed would given sure side wall bug wa climbing wa kitchen
211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,minute waiting salad realized coming time soon
212,My friend loved the salmon tartar.,1,friend loved salmon tartar
213,Won't go back.,0,go back
214,Extremely Tasty!,1,extremely tasty
215,Waitress was good though!,1,waitress wa good though
216,Soggy and not good.,0,soggy good
217,The Jamaican mojitos are delicious.,1,jamaican mojitos delicious
218,Which are small and not worth the price.,0,small worth price
219,- the food is rich so order accordingly.,1,food rich order accordingly
220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse take full shower unless mind nude everyone see
221,The service was a bit lacking.,0,service wa bit lacking
222,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprout risotto filet needed salt pepper course none table
223,Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bodes going business someone cook come
224,"It was either too cold, not enough flavor or just bad.",0,wa either cold enough flavor bad
225,I loved the bacon wrapped dates.,1,loved bacon wrapped date
226,This is an unbelievable BARGAIN!,1,unbelievable bargain
227,The folks at Otto always make us feel so welcome and special.,1,folk otto always make u feel welcome special
228,"As for the ""mains,"" also uninspired.",0,main also uninspired
229,This is the place where I first had pho and it was amazing!!,1,place first pho wa amazing
230,This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience made place must stop whenever town
231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food bad enough enjoy dealing world worst annoying drunk people
232,Very very fun chef.,1,fun chef
233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered double cheeseburger got single patty wa falling apart picture uploaded yeah still suck
234,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place couple drink watch sporting event wall covered tv
235,"If it were possible to give them zero stars, they'd have it.",0,possible give zero star
236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,description said yum yum sauce another said eel sauce yet another said spicy mayo well none roll sauce
237,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,say would hardest decision honestly dish taste supposed taste amazing
238,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,rolled eye may stayed sure go back try
239,"Everyone is very attentive, providing excellent customer service.",1,everyone attentive providing excellent customer service
240,Horrible - don't waste your time and money.,0,horrible waste time money
241,Now this dish was quite flavourful.,1,dish wa quite flavourful
242,By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaurant wa almost empty wa excuse
243,"(It wasn't busy either) Also, the building was FREEZING cold.",0,busy either also building wa freezing cold
244,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like reviewer said pay eat place
245,-Drinks took close to 30 minutes to come out at one point.,0,drink took close minute come one point
246,"Seriously flavorful delights, folks.",1,seriously flavorful delight folk
247,Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayce sushi place went vega
248,The lighting is just dark enough to set the mood.,1,lighting dark enough set mood
249,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based sub par service received effort show gratitude business going back
250,Owner's are really great people.!,1,owner really great people
251,There is nothing privileged about working/eating there.,0,nothing privileged working eating
252,The Greek dressing was very creamy and flavorful.,1,greek dressing wa creamy flavorful
253,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall think would take parent place made similar complaint silently felt
254,Now the pizza itself was good the peanut sauce was very tasty.,1,pizza wa good peanut sauce wa tasty
255,We had 7 at our table and the service was pretty fast.,1,table service wa pretty fast
256,Fantastic service here.,1,fantastic service
257,I as well would've given godfathers zero stars if possible.,0,well would given godfather zero star possible
258,They know how to make them here.,1,know make
259,very tough and very short on flavor!,0,tough short flavor
260,I hope this place sticks around.,1,hope place stick around
261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vega ever recall charged tap water
262,The restaurant atmosphere was exquisite.,1,restaurant atmosphere wa exquisite
263,"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot
264,The seafood was fresh and generous in portion.,1,seafood wa fresh generous portion
265,"Plus, it's only 8 bucks.",1,plus buck
266,"The service was not up to par, either.",0,service wa par either
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far visited twice food wa absolutely delicious time
268,Just as good as when I had it more than a year ago!,1,good year ago
269,"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaimed coffee cafe wa wildly disappointed
270,The Veggitarian platter is out of this world!,1,veggitarian platter world
271,You cant go wrong with any of the food here.,1,cant go wrong food
272,You can't beat that.,1,beat
273,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff
274,The chefs were friendly and did a good job.,1,chef friendly good job
275,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,better dedicated boba tea spot even jenni pho
276,I liked the patio and the service was outstanding.,1,liked patio service wa outstanding
277,The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco skimp meat wow flavor
278,I think not again,0,think
279,I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad wa pretty bland getting
280,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommendation wa disappointed
281,Service stinks here!,0,service stink
282,I waited and waited.,0,waited waited
283,"This place is not quality sushi, it is not a quality restaurant.",0,place quality sushi quality restaurant
284,I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wing well pizza
285,Great Pizza and Salads!,1,great pizza salad
286,Things that went wrong: - They burned the saganaki.,0,thing went wrong burned saganaki
287,We waited an hour for what was a breakfast I could have done 100 times better at home.,0,waited hour wa breakfast could done time better home
288,This place is amazing!,1,place amazing
289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagree fellow yelpers husband disappointed place
290,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited hour never got either pizza many around u came later
291,Just don't know why they were so slow.,0,know slow
292,"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection
293,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappointed back convenient location
294,I didn't know pulled pork could be soooo delicious.,1,know pulled pork could soooo delicious
295,"You get incredibly fresh fish, prepared with care.",1,get incredibly fresh fish prepared care
296,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave star rating please know wa third time eating bachi burger writing review
297,I love the fact that everything on their menu is worth it.,1,love fact everything menu worth
298,Never again will I be dining at this place!,0,never dining place
299,The food was excellent and service was very good.,1,food wa excellent service wa good
300,Good beer & drink selection and good food selection.,1,good beer drink selection good food selection
301,Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fried noodle
302,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order wa sad could probably count many chip box wa probably around
303,Food was really boring.,0,food wa really boring
304,Good Service-check!,1,good service check
305,This greedy corporation will NEVER see another dime from me!,0,greedy corporation never see another dime
306,"Will never, ever go back.",0,never ever go back
307,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,much like go back get passed atrocious service never return
308,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,summer dine charming outdoor patio delightful
309,I did not expect this to be so good!,1,expect good
310,Fantastic food!,1,fantastic food
311,She ordered a toasted English muffin that came out untoasted.,0,ordered toasted english muffin came untoasted
312,The food was very good.,1,food wa good
313,Never going back.,0,never going back
314,"Great food for the price, which is very high quality and house made.",1,great food price high quality house made
315,The bus boy on the other hand was so rude.,0,bus boy hand wa rude
316,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point friend basically figured place wa joke mind making publicly loudly known
317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reasonable pricing tell public back old way
318,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,considering two u left full happy go wrong
319,All the bread is made in-house!,1,bread made house
320,The only downside is the service.,0,downside service
321,"Also, the fries are without a doubt the worst fries I've ever had.",0,also fry without doubt worst fry ever
322,Service was exceptional and food was a good as all the reviews.,1,service wa exceptional food wa good review
323,"A couple of months later, I returned and had an amazing meal.",1,couple month later returned amazing meal
324,Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town shawarrrrrrma
325,The black eyed peas and sweet potatoes... UNREAL!,1,black eyed pea sweet potato unreal
326,You won't be disappointed.,1,disappointed
327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,could serve vinaigrette may make better overall dish wa still good
328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far many place never seen restaurant serf egg breakfast especially
329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,mom got home immediately got sick bite salad
330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,server pleasant deal always honor pizza hut coupon
331,"Both of them were truly unbelievably good, and I am so glad we went back.",1,truly unbelievably good glad went back
332,"We had fantastic service, and were pleased by the atmosphere.",1,fantastic service pleased atmosphere
333,Everything was gross.,0,everything wa gross
334,I love this place.,1,love place
335,Great service and food.,1,great service food
336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathroom location dirty seat cover replenished plain yucky
337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,burger got gold standard burger wa kind disappointed
338,"OMG, the food was delicioso!",1,omg food wa delicioso
339,There is nothing authentic about this place.,0,nothing authentic place
340,the spaghetti is nothing special whatsoever.,0,spaghetti nothing special whatsoever
341,"Of all the dishes, the salmon was the best, but all were great.",1,dish salmon wa best great
342,The vegetables are so fresh and the sauce feels like authentic Thai.,1,vegetable fresh sauce feel like authentic thai
343,It's worth driving up from Tucson!,1,worth driving tucson
344,The selection was probably the worst I've seen in Vegas.....there was none.,0,selection wa probably worst seen vega wa none
345,Pretty good beer selection too.,1,pretty good beer selection
346,"This place is like Chipotle, but BETTER.",1,place like chipotle better
347,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classy warm atmosphere fun fresh appetizer succulent steak baseball steak
348,5 stars for the brick oven bread app!,1,star brick oven bread app
349,"I have eaten here multiple times, and each time the food was delicious.",1,eaten multiple time time food wa delicious
350,We sat another ten minutes and finally gave up and left.,0,sat another ten minute finally gave left
351,He was terrible!,0,wa terrible
352,Everyone is treated equally special.,1,everyone treated equally special
353,It shouldn't take 30 min for pancakes and eggs.,0,take min pancake egg
354,It was delicious!!!,1,wa delicious
355,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,good side staff wa genuinely pleasant enthusiastic real treat
356,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadly gordon ramsey steak place shall sharply avoid next trip vega
357,As always the evening was wonderful and the food delicious!,1,always evening wa wonderful food delicious
358,Best fish I've ever had in my life!,1,best fish ever life
359,(The bathroom is just next door and very nice.),1,bathroom next door nice
360,The buffet is small and all the food they offered was BLAND.,0,buffet small food offered wa bland
361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,outstanding little restaurant best food ever tasted
362,Pretty cool I would say.,1,pretty cool would say
363,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definitely turn doubt back unless someone else buying
