,0,1,2,3,4,5,6,7,8,9,10,11
39,1598,383,29,1599,2,1600,234,1601,78,1602,247,1603
40,0,0,0,0,0,0,0,0,716,47,19,7
41,0,0,0,0,6,2,5,211,159,115,817,818
42,0,0,0,0,0,0,0,0,0,0,0,81
43,0,0,0,0,0,0,0,0,0,0,0,71
44,0,0,0,0,0,203,444,281,630,137,254,197
45,0,0,0,0,0,0,0,0,423,3,167,1086
46,0,0,0,0,0,16,128,1685,254,31,168,203
47,0,0,0,0,0,61,394,200,1142,2,138,3
48,0,0,0,0,0,0,0,0,0,0,0,770
49,0,0,0,0,0,41,240,196,671,257,296,14
50,0,0,0,0,0,0,0,0,0,0,1,22
51,0,0,0,0,0,0,0,0,11,144,373,43
52,0,0,0,0,0,0,27,397,722,1483,259,454
53,0,0,0,0,57,1047,613,308,117,34,1048,178
54,0,0,0,0,0,0,0,0,0,0,1,401
55,0,0,0,0,33,1119,631,7,405,301,432,1120
56,0,0,0,0,0,0,0,0,0,19,723,724
57,0,0,0,0,0,0,0,0,0,19,139,3
58,0,0,0,0,0,0,0,0,0,2,1,323
59,0,0,0,0,0,0,0,0,11,9,959,566
60,0,0,0,0,0,0,0,0,0,146,1656,21
61,0,0,0,0,0,0,37,1,20,162,717,29
62,0,0,0,0,0,0,0,0,417,461,1,645
63,0,0,0,0,0,0,0,0,75,2,1,12
64,0,0,0,0,0,0,0,138,42,7,34,379
65,0,0,0,0,0,0,0,0,11,1755,3,1756
66,0,0,1107,156,89,303,62,347,1108,43,1109,43
67,0,0,0,0,0,0,0,0,783,159,4,45
68,0,0,0,0,0,0,0,0,8,38,133,5
69,0,0,0,0,0,615,71,39,701,64,632,1329
70,0,0,0,0,0,0,77,195,2,1118,1,87
71,0,0,0,0,37,426,157,59,1091,44,1092,1093
72,0,0,0,0,0,0,0,2,1,6,1,970
73,0,0,0,0,0,0,720,1543,406,274,1,79
74,0,0,0,0,0,0,0,6,3,1339,145,30
75,0,0,0,0,0,0,0,0,0,0,609,610
76,0,0,0,0,0,0,0,0,90,9,15,293
77,0,0,542,30,13,1715,80,1716,1717,25,1718,435
78,0,0,0,0,0,948,949,33,3,91,7,113
79,0,0,0,0,0,0,0,1418,190,1419,1420,657
80,0,0,0,0,0,0,205,200,223,2,10,432
81,0,0,0,0,0,0,0,0,0,6,282,97
82,0,0,0,0,0,386,8,1145,28,53,59,6
83,6,3,30,1164,94,425,657,658,1165,1166,288,172
84,0,201,47,77,1597,55,25,287,3,126,136,112
85,0,16,563,951,7,109,564,9,1,952,212,499
86,0,0,0,0,0,0,0,0,0,160,1,1189
87,0,0,0,0,0,0,0,0,82,325,1,326
88,0,0,0,0,0,0,0,1458,1459,581,149,295
89,0,0,0,0,0,0,0,0,305,115,236,40
90,0,0,0,0,0,0,0,0,0,33,10,7
91,0,0,0,0,0,0,0,0,5,1,177,17
92,0,0,0,0,0,0,0,0,0,0,0,6
93,0,0,0,0,0,740,193,151,40,1612,115,18
94,0,0,0,0,0,0,0,0,19,332,48,203
95,0,0,0,0,0,0,0,0,3,815,40,347
96,29,177,20,204,34,734,463,501,1536,1537,1538,29
97,0,0,0,0,0,0,0,0,0,0,2,4
98,0,0,0,0,0,0,0,0,0,507,158,3
99,0,0,0,0,0,0,0,0,0,104,104,104
100,0,0,0,0,0,3,24,4,20,94,459,15
101,0,0,0,0,0,0,0,0,0,0,177,1548
102,122,400,83,205,9,26,437,67,1541,1542,4,67
103,0,0,0,107,301,9,111,238,125,1530,34,1531
104,0,0,0,1,156,568,5,147,9,698,149,641
105,0,0,0,1435,583,208,97,1436,86,103,97,60
106,0,0,0,0,0,1474,118,33,18,1475,265,1476
107,1223,238,283,1,603,1224,1225,1226,1227,1,62,76
108,0,0,0,0,0,0,1183,34,433,129,1184,1185
109,0,0,0,0,0,0,1,49,1267,28,1,22
110,0,0,0,0,0,0,0,0,363,165,364,536
111,0,0,0,0,0,11,79,223,15,33,95,264
112,0,0,0,0,697,1323,181,64,191,498,698,60
113,0,0,0,0,0,1202,670,1203,1204,235,441,1205
114,0,0,0,0,0,0,0,0,0,1617,459,150
115,0,0,0,0,0,0,0,0,0,0,57,89
116,0,0,0,0,0,0,0,0,0,0,89,303
117,0,0,0,0,0,0,632,1087,1088,216,108,1089
118,0,0,0,0,0,27,73,158,1575,389,560,5
119,0,0,0,0,0,0,2,56,154,159,1580,195
120,0,0,0,0,0,0,155,9,3,8,55,192
121,0,0,0,0,0,0,0,0,0,0,2,4
122,0,0,0,147,401,571,52,210,491,102,475,9
123,0,0,0,0,0,0,0,0,0,109,320,17
124,0,0,36,41,1,33,1359,1,455,1360,125,404
125,0,0,0,0,0,0,146,26,1445,522,1446,460
126,0,0,0,0,0,0,0,0,0,1,24,538
127,0,0,0,0,0,0,0,0,280,183,868,43
128,0,0,0,0,0,0,157,4,76,13,786,265
129,0,90,3,871,188,872,2,14,224,539,540,873
130,0,0,0,0,0,0,0,0,0,1762,1763,447
131,0,0,0,0,0,0,0,0,131,9,2,5
132,0,0,0,0,0,0,3,434,18,40,53,2
133,141,1012,86,411,102,141,140,594,60,408,274,86
134,0,0,0,0,0,0,0,0,0,0,4,198
135,0,0,0,49,230,309,313,1096,550,1097,1098,1099
136,0,0,0,0,0,0,0,0,317,269,190,12
137,0,0,0,0,0,0,55,15,1314,660,183,76
138,0,0,0,0,0,0,0,0,0,171,80,3
139,0,0,0,0,0,0,0,0,2,64,53,185
140,0,0,0,0,0,0,0,0,0,0,3,21
141,0,0,0,0,0,0,0,1264,149,59,189,442
142,0,0,0,0,0,0,0,0,0,586,16,999
143,0,0,0,0,0,0,0,0,2,26,319,1713
144,0,0,0,0,0,0,0,1228,1229,8,253,117
145,0,0,0,0,0,66,32,25,135,718,25,1504
146,0,0,0,332,62,1670,83,1,1671,1672,293,156
147,888,889,890,97,543,36,544,375,545,376,82,54
148,0,0,0,0,0,0,0,0,0,0,0,22
149,0,0,0,267,141,1,142,34,1714,38,2,723
150,0,0,0,0,0,0,0,47,528,528,357,277
151,0,0,0,0,0,0,0,629,116,1643,1644,573
152,0,0,0,0,0,0,0,0,0,257,4,43
153,0,0,0,0,0,668,1201,15,53,165,101,98
154,0,0,0,0,0,0,0,0,0,33,91,7
155,0,0,0,0,0,0,0,0,222,319,1,160
156,0,0,0,0,270,348,8,98,77,1,24,4
157,0,0,0,0,0,0,5,699,204,188,20,302
158,0,0,0,0,0,0,0,0,105,1697,10,7
159,0,0,0,0,0,0,0,0,0,0,665,1
160,0,0,0,0,0,0,25,1058,62,215,1059,328
161,0,0,0,0,0,0,0,160,1,162,17,1390
162,0,0,0,0,0,0,623,547,1069,1070,417,624
163,0,0,0,0,0,0,0,72,98,5,1,85
164,0,0,78,51,935,16,936,46,21,937,393,938
165,0,0,0,39,187,27,446,234,46,187,321,44
166,0,0,0,0,0,0,210,6,133,5,407,7
167,406,580,989,990,991,581,582,349,583,407,408,63
168,0,0,0,0,0,0,0,0,0,0,191,142
169,0,1765,76,643,1766,349,1767,1768,8,128,254,168
170,0,0,0,0,0,0,0,0,0,4,1699,1700
171,3,143,54,163,562,500,290,69,736,343,56,343
172,0,0,0,0,0,0,6,8,175,174,1514,80
173,0,0,0,0,0,0,0,0,0,156,111,971
174,0,0,0,0,0,12,3,23,101,168,237,1296
175,0,0,0,0,0,1268,36,247,43,241,8,423
176,0,0,0,0,0,0,0,0,0,1190,61,1191
177,0,0,0,182,1752,297,1753,1754,1,391,238,125
178,0,0,0,0,0,380,3,304,218,387,1,144
179,0,0,0,0,0,0,0,27,284,78,51,95
180,0,0,0,0,0,0,0,0,612,10,246,2
181,29,17,66,8,188,185,18,34,47,1136,49,32
182,0,0,0,46,298,56,1354,1355,1,18,116,35
183,0,0,0,0,3,30,1744,13,14,228,382,458
184,0,0,0,0,0,0,0,0,0,0,0,93
185,0,0,0,0,0,0,0,413,53,107,344,739
186,0,0,0,0,0,0,0,150,177,17,29,1413
187,0,0,0,0,0,0,0,0,13,92,1311,449
188,0,0,0,0,0,0,0,0,24,4,111,75
189,0,0,0,0,237,110,8,37,25,10,1,79
190,0,0,0,0,0,0,0,0,0,0,0,9
191,0,0,0,0,0,0,0,0,0,0,83,6
192,0,0,0,0,0,0,216,108,83,4,516,60
193,0,0,0,0,0,0,1571,1572,1,1573,321,336
194,20,71,1,533,1468,444,143,271,1,1469,248,357
195,0,0,0,0,0,0,0,16,12,377,1353,167
196,0,0,0,0,0,110,479,771,480,772,481,4
197,0,0,0,0,0,0,0,0,0,0,99,7
198,0,0,0,0,0,0,0,0,0,235,924,925
199,4,251,113,1215,1216,1217,1218,304,195,175,442,1219
